website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Разработчик Python,https://spb.hh.ru/vacancy/66082286,,,,ТОО Business and Technology Services,Нур-Султан
hh.ru,Backend developer (Python),https://spb.hh.ru/vacancy/66137933,300000.0,,KZT,ТОО Click Logistics,Алматы
hh.ru,Веб разработчик,https://spb.hh.ru/vacancy/55240826,150000.0,,руб,ООО ДЕМЛАБС,Новосибирск
hh.ru,Senior data scientist,https://spb.hh.ru/vacancy/54418768,,,,АО Банк ДОМ.РФ,Москва
hh.ru,Аналитик данных,https://spb.hh.ru/vacancy/54997493,,,,rabota.by,"Минск, Михалово"
hh.ru,"Data Analyst \ Аналитик данных (BI, SQL, Python, Data Science)",https://spb.hh.ru/vacancy/55340822,170000.0,210000.0,руб,ООО HeadHunter:: IT,"Москва, Алексеевская"
hh.ru,Backend Developer Python/Django (Middle+),https://spb.hh.ru/vacancy/55859298,,,,ООО AKFA Group,Ташкент
hh.ru,Middle / Senior QA инженер в команду Монетизации,https://spb.hh.ru/vacancy/52599783,200000.0,,руб,ООО HeadHunter::QA,"Москва, Алексеевская"
hh.ru,"Системный программист iOS/Android (реверс инженер), удаленно",https://spb.hh.ru/vacancy/55870469,3000.0,7000.0,EUR,ООО Бринго,Москва
hh.ru,Junior Back-end/Go Developer,https://spb.hh.ru/vacancy/55862777,,,,ТОО LEOPART CENTER,Алматы
hh.ru,Database Developer,https://spb.hh.ru/vacancy/55902868,,,,Scand,Минск
hh.ru,Разработчик SQL,https://spb.hh.ru/vacancy/54836751,,,,QIWI,Екатеринбург
hh.ru,SRE/DevOps Engineer,https://spb.hh.ru/vacancy/55869056,200000.0,,руб,АО Морфбитс,Санкт-Петербург
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/54939886,,450000.0,руб,Точка,Москва
hh.ru,Junior Python разработчик,https://spb.hh.ru/vacancy/55167412,40000.0,100000.0,руб,ООО РеРиКом,Казань
hh.ru,Стажер-разработчик Python,https://spb.hh.ru/vacancy/55132214,20000.0,50000.0,руб,ООО Аналитические программные решения,"Москва, Марьина Роща"
hh.ru,Python Developer (в ОАЭ),https://spb.hh.ru/vacancy/55225298,4000.0,7000.0,USD,Progressive Mind,"Москва, Международная"
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55875763,120000.0,230000.0,руб,Coding Team,"Санкт-Петербург, Петроградская"
hh.ru,Python developer,https://spb.hh.ru/vacancy/66111185,40000.0,120000.0,руб,ООО КОМТЕК,Барнаул
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55880675,3000.0,3500.0,USD,Hello Bali Beautiful,Москва
hh.ru,Python Developer,https://spb.hh.ru/vacancy/55160452,150000.0,,руб,BrainGarden,"Санкт-Петербург, Петроградская и еще 2 "
hh.ru,Junior Python разработчик,https://spb.hh.ru/vacancy/66122585,,,,"ПАО МегаФон, IT","Санкт-Петербург, Василеостровская"
hh.ru,Программист Python,https://spb.hh.ru/vacancy/66090178,,,,ООО НТБ,Москва
hh.ru,Программист Python django,https://spb.hh.ru/vacancy/66084842,130000.0,150000.0,руб,Production IT,Москва
hh.ru,Python developer,https://spb.hh.ru/vacancy/55907338,100000.0,250000.0,руб,Fitingo,"Москва, Автозаводская и еще 2 "
hh.ru,Разработчик Python/Senior Developer,https://spb.hh.ru/vacancy/66088629,350000.0,450000.0,руб,ООО Центр Психологической Помощи и Консультирования,Москва
hh.ru,Разработчик Python,https://spb.hh.ru/vacancy/55132598,150000.0,250000.0,руб,АО Гринатом,Москва
hh.ru,Python developer (Senior),https://spb.hh.ru/vacancy/54956212,360000.0,480000.0,руб,ООО Вайт Код,"Санкт-Петербург, Петроградская"
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/55280129,80000.0,120000.0,руб,ИП Шаимов Марат Шагишарифович,Челябинск
hh.ru,Middle/Senior Python Developer,https://spb.hh.ru/vacancy/55442179,180000.0,350000.0,руб,ООО БОЛЬШАЯ ТРОЙКА,Москва
hh.ru,Python Backend Developer (Middle/Remote),https://spb.hh.ru/vacancy/66131412,,200000.0,руб,JetLend,Санкт-Петербург
hh.ru,Junior/Middle backend разработчик на Python (Django),https://spb.hh.ru/vacancy/66068623,50000.0,120000.0,руб,Webtronics,Москва
hh.ru,NLP/ML Developer,https://spb.hh.ru/vacancy/55905118,,200000.0,руб,Концепта,Москва
hh.ru,Разработчик Python,https://spb.hh.ru/vacancy/47668037,30000.0,80000.0,руб,ООО Электронная медицина,Ростов-на-Дону
hh.ru,Junior Аналитик Python/SQL в Центр ИТ-валидации,https://spb.hh.ru/vacancy/66099215,,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/66111005,200000.0,,руб,Среда Капитал,Санкт-Петербург
hh.ru,Python Middle/Senior Developer,https://spb.hh.ru/vacancy/66128083,1500.0,3500.0,USD,Abiatec,"Минск, Площадь Якуба Коласа"
hh.ru,Python/Django Web Developer (Remote),https://spb.hh.ru/vacancy/66135783,4000.0,6000.0,USD,Soshace,Тбилиси
hh.ru,Data Analyst / Аналитик данных,https://spb.hh.ru/vacancy/53331706,180000.0,,руб,WAZZUP,Москва
hh.ru,Программист Python,https://spb.hh.ru/vacancy/55368545,,,,Insider Week,Москва
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/54383588,100000.0,300000.0,руб,ANABAR,Москва
hh.ru,Ведущий разработчик (Python/JavaScript),https://spb.hh.ru/vacancy/55900741,300000.0,350000.0,руб,ИП Шпак Виктория Сергеевна,Москва
hh.ru,Программист Python,https://spb.hh.ru/vacancy/55597998,,200000.0,руб,Enjoypro,Санкт-Петербург
hh.ru,Middle Python разработчик,https://spb.hh.ru/vacancy/55355132,,,,CityAir,Новосибирск
